herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Trivy,Vulnerability,CVE-2026-61866 | imagemagick-7-common | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Memory leak in JNG encoder can lead to denial of service,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61870 | imagemagick-7-common | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via specially crafted VIFF images,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86420 | imagemagick-7-common | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service due to memory budget exhaustion,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86421 | imagemagick-7-common | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via memory leak in MSL decoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-54369 | libacl1 | wordpress:latest (debian 13.6) | acl: Symlink traversal privilege escalation via libacl functions,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-76642 | libblkid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78408 | libblkid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78409 | libblkid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-78410 | libblkid1 | wordpress:latest (debian 13.6) | util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-34980 | libcups2t64 | wordpress:latest (debian 13.6) | cups: OpenPrinting CUPS: Shared PostScript queue lets anonymous Print-Job requests reach `lp` code execution over the network,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-12064 | libcurl4t64 | wordpress:latest (debian 13.6) | curl: curl: SSH host verification bypass when using schemeless URLs with SFTP/SCP,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-8286 | libcurl4t64 | wordpress:latest (debian 13.6) | curl: curl: Insecure connection establishment due to TLS configuration mismatch,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-8458 | libcurl4t64 | wordpress:latest (debian 13.6) | curl: libcurl: Unauthorized connection reuse due to a logical error,HIGH,A.5.17,DSS05.04
Trivy,Vulnerability,CVE-2026-8927 | libcurl4t64 | wordpress:latest (debian 13.6) | curl: Information disclosure due to uncleared proxy authentication state,HIGH,A.5.17,DSS05.04
Trivy,Vulnerability,CVE-2026-33164 | libde265-0 | wordpress:latest (debian 13.6) | libde265 is an open source implementation of the h.265 video codec. Pr ...,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-76956 | libexpat1 | wordpress:latest (debian 13.6) | libexpat: libexpat: Denial of Service via hash flooding attack with crafted XML,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-76957 | libexpat1 | wordpress:latest (debian 13.6) | libexpat: libexpat: Memory corruption vulnerability allows arbitrary code execution or denial of service,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-58016 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: integer underflow in gio/gdbusintrospection.c via ""g_dbus_node_info_new_for_xml""",CRITICAL,A.8.8,DSS05.07
